,MSE,R2,cvMSE,n_components
QIAN880109,0.1566291085873266,0.9706227461428681,0.41497448829748346,9
FUKS010112,0.13596375936786792,0.9744987256178318,0.41544058901847264,10
AVBF000101,0.14731612727119858,0.9723694828686159,0.4156920027544537,9
ZIMJ680104,0.23245750932700743,0.9564004205598304,0.4194922669810263,6
VHEG790101,0.2564105036374672,0.9519078125073209,0.42156693622349456,5
OOBM770103,0.16348698172116172,0.9693364879129023,0.4227515897988763,10
NAKH900110,0.22717300159961148,0.9573915793962554,0.42317330998708075,4
SNEP660101,0.14346507308936002,0.9730917840892371,0.42481997027179896,9
EISD860101,0.21622851797947998,0.9594443196342844,0.42581372141943313,8
MAXF760101,0.2590514281692652,0.9514124824177361,0.42651736351975306,4
PONP800106,0.16772887469770623,0.9685408812218429,0.4265595471971726,10
NAKH900108,0.2150966332606423,0.9596566151968539,0.42741250182287666,6
MEEJ810101,0.23004131816729348,0.9568535998041386,0.4276224267321334,5
MANP780101,0.222044419640305,0.9583534928969101,0.4276433835693747,5
KARP850102,0.24684416680684862,0.9537020684287816,0.42833395644069555,4
NISK800101,0.20720128705826782,0.9611374612015912,0.4287609233435173,7
CHOP780101,0.1859929285614668,0.965115287143863,0.42884572978506885,8
FUKS010102,0.21360541201175645,0.9599363076855668,0.4292961284826092,8
RACS820101,0.275354294152466,0.9483547274646057,0.430018888864559,3
NADH010105,0.27570785314379914,0.9482884141698705,0.43178531414346505,2
FASG890101,0.22806424422576776,0.9572244185082631,0.4318206932356395,8
PARJ860101,0.2466990177391588,0.9537292924936256,0.4324027932338213,3
PALJ810102,0.23543170832223093,0.9558425817283875,0.43255660295368586,5
FUKS010109,0.24018935501302424,0.954950240605728,0.4329756085453407,6
QIAN880121,0.15735368289197452,0.9704868454569868,0.4333205409467859,9
ROSM880104,0.24316482796521607,0.9543921628317436,0.43354958349686623,5
GEIM800103,0.1605443107894333,0.9698884133612373,0.4343875111105143,10
QIAN880111,0.14621208572064762,0.972576556184629,0.4348763226907377,10
PUNT030102,0.2286992731208403,0.9571053129012312,0.43571313120292293,7
AURR980101,0.19572239569070027,0.963290434609567,0.4365733844765644,6
JOND920102,0.24717248035003253,0.9536404901539013,0.43699231597104155,5
ZHOH040102,0.24662742432304735,0.9537427205082429,0.4371074588859768,5
RACS820114,0.22723672058448605,0.9573796283048455,0.43780892067124205,5
CORJ870101,0.2485843489956466,0.9533756809879089,0.4401238301221959,4
