,MSE,R2,cvMSE,n_components
CORJ870107,0.07758233977228825,0.45826467653355984,0.10117454427064584,4
WOLR810101,0.05962938536888331,0.5836250303132067,0.1014647993535834,9
ZHOH040103,0.05284659864704548,0.6309872930336098,0.10178896005807096,10
BEGF750102,0.07857973371726,0.45130015944128543,0.10183180527424004,4
KYTJ820101,0.07579243070622925,0.470763100398102,0.10251464986626797,5
CHOC750101,0.07046178276621046,0.5079854926918608,0.102625485233064,7
CORJ870108,0.07875832005335288,0.45005314205519054,0.10269740544884631,4
OOBM770101,0.05091481925377739,0.64447635687919,0.10269922657719269,10
LEVM760101,0.07067855694294416,0.5064718205198602,0.10281927348902575,4
CASG920101,0.06962084190950871,0.5138575425470031,0.10325497860264736,5
PONP800101,0.07480161310397383,0.4776816967671923,0.10335093697818469,3
PONP800103,0.06751215721231964,0.5285818856110736,0.1034328281377657,5
KARS160106,0.05901782379876776,0.5878953901138857,0.10374368743668498,7
CORJ870103,0.07742935576319902,0.45933292018143634,0.10401367520222067,5
RADA880101,0.07135676248841478,0.5017361048707751,0.10403785669499499,5
WIMW960101,0.07410389469871705,0.4825536651438832,0.1041604030097961,3
PONP800102,0.07047962594808341,0.5078608988483135,0.10435897983638043,3
CORJ870101,0.045815904461505866,0.6800806227781889,0.10447463950419345,10
JOND920102,0.06263187010088192,0.5626595368482454,0.10463726421774196,7
PALJ810110,0.07837104691507474,0.45275735978632314,0.10478073484886226,6
OOBM770103,0.07504197465071118,0.4760033207262938,0.1049332202116042,5
BIGC670101,0.06522163737845736,0.5445759315079324,0.10497089081883715,9
GUYH850102,0.08162653425977805,0.4300252213267184,0.1051387143707472,3
HOPT810101,0.07585520510204428,0.4703247647185893,0.10518078306337997,3
DESM900101,0.07144869746723889,0.5010941491674882,0.10519571125250726,6
KIDA850101,0.07313353660232877,0.4893293986261176,0.10539302880308028,4
MEEJ810102,0.07924255544725446,0.4466718645825192,0.10540722983569321,3
GEIM800107,0.06705921105389197,0.5317446792876872,0.10593951103100122,8
MEEJ810101,0.07940966304638615,0.4455049999386451,0.10609141932110511,4
MANP780101,0.05348534075139961,0.6265271393242793,0.10638366887106346,10
CORJ870104,0.06725365359619087,0.5303869425417075,0.10667086310103487,8
PONP930101,0.07762635894776916,0.45795730320171824,0.10748898259999218,4
FUKS010104,0.07390211470142237,0.4839626372427438,0.10751079719721704,3
RICJ880105,0.06921815026211413,0.516669423324237,0.10767668824601644,7
TSAJ990102,0.06476917039590621,0.5477353792362385,0.10783245767457963,8
NADH010102,0.07835406730642179,0.4528759235446854,0.10793711044169867,6
KANM800102,0.05904818054081959,0.5876834176531027,0.10794037147277727,8
CORJ870105,0.08453998944671214,0.40968139575080453,0.1079698471250898,3
DAWD720101,0.08147301421975617,0.43109720792552353,0.1084474624337213,4
SUYM030101,0.0754478622438032,0.47316912357291974,0.10852887798652541,7
NAKH900111,0.06193454592894984,0.5675287524062109,0.10881579213243822,10
ROBB760105,0.08394861731695395,0.41381077845495995,0.10909482435485134,4
PONP800106,0.07736448389829939,0.45978590188859325,0.10913182313120846,3
KRIW790103,0.06803878976681171,0.524904560873342,0.10913682065064194,8
FUKS010102,0.06947990085961026,0.5148416936499544,0.10933049400008683,7
QIAN880118,0.07610562253669602,0.4685761712840414,0.109405197987372,6
MAXF760105,0.08027499340173742,0.4394626451793344,0.10965403259311061,7
RACS820103,0.0840563381307092,0.4130585947743046,0.10965615454184943,3
MONM990201,0.08378201752923084,0.41497409719678335,0.10983991497837567,3
WERD780101,0.07918354999008488,0.4470838828397652,0.10996780479746482,4
FASG760102,0.07823698484086528,0.453693476966465,0.11052154408977752,6
FUKS010103,0.08105363121190895,0.43402563970625196,0.11054933376727585,5
BURA740102,0.08047536395833672,0.43806351480235595,0.11055872611893924,4
BIOV880102,0.07459978472592563,0.4790910066950388,0.11062442602057385,5
TSAJ990101,0.06503588768013845,0.5458729686068127,0.1106365768144462,8
WOLR790101,0.08126058205159167,0.43258056109163123,0.11074536573571936,4
KRIW790101,0.07708056427935209,0.46176843150886937,0.1109168456326882,6
MCMT640101,0.07032858939027102,0.5089155440000569,0.11097845213168722,7
LEVM760105,0.06958328955243508,0.5141197599326339,0.11098104382798472,6
MAXF760102,0.06398970979499732,0.5531781300220759,0.11103393536050925,8
HUTJ700101,0.0784387073053666,0.4522849066026705,0.11104215777183275,5
PRAM900104,0.06534772264293714,0.5436955141121979,0.1114735575978993,10
ROSM880105,0.07504884200895147,0.4759553679248111,0.11156827261850406,5
WARP780101,0.05504627558163344,0.6156275771604064,0.11181166959694604,10
PONP800107,0.0772844051216314,0.46034506911799566,0.111997289186384,6
