,MSE,R2,cvMSE,n_components
AVBF000109_KARS160103,0.04278740128706176,0.701227795596669,0.08141798678791909,10
AVBF000109_BIGC670101,0.047139783366779396,0.6708363544423308,0.08147844761826181,9
AVBF000109_CHOC750101,0.04687935633214031,0.6726548420551522,0.08183305316702597,9
AVBF000109_RADA880104,0.04922776857057483,0.6562565500294806,0.08187769336166174,10
AVBF000109_GUYH850104,0.04834642993125973,0.6624106860642303,0.0819132099482736,9
AVBF000109_NAKH900102,0.050316272599083306,0.648655837242146,0.08199324888816877,10
AVBF000109_AVBF000101,0.05487094876688946,0.6168518342397424,0.08199702868790731,9
AVBF000109_FUKS010101,0.051766354031194124,0.6385303327009975,0.08206714763811354,10
AVBF000109_WOEC730101,0.04613878271402574,0.6778260561450798,0.08210073466346676,10
AVBF000109_NISK800101,0.047061949226240726,0.6713798480186421,0.08217761937792498,10
AVBF000109_GEIM800101,0.047530037465396545,0.6681113215164228,0.08220734084700845,10
AVBF000109_JOND750102,0.05110980109755923,0.643114854344963,0.08228581635186155,10
AVBF000109_FAUJ880103,0.04477833754130708,0.6873256562842903,0.08229492397847056,9
AVBF000109_MUNV940104,0.05154727117520153,0.6400601257209739,0.08233895914981086,10
AVBF000109_FAUJ880106,0.04776762201673314,0.6664523364413821,0.08240470161912837,10
AVBF000109_RADA880105,0.04628240062113654,0.676823213312644,0.08248833738678854,10
AVBF000109_CEDJ970101,0.046891687225607465,0.6725687389474003,0.08251672422946313,10
AVBF000109_KUMS000102,0.05028046723304551,0.6489058558882612,0.0825234239046467,10
AVBF000109_RICJ880117,0.05545101683650439,0.6128013845594706,0.0826287457886654,5
AVBF000109_CHOC760104,0.042818588873327526,0.701010021588004,0.08302321807868865,10
AVBF000109_NAKH900109,0.04715988684017571,0.6706959776285466,0.08303065030880377,10
AVBF000109_FASG760101,0.04417913152121243,0.6915097408075437,0.08309695277121144,9
AVBF000109_JOND920101,0.044808157437177434,0.6871174324670856,0.08320257321850485,10
AVBF000109_KARS160113,0.046363177210171226,0.676259173458759,0.08321475015734278,9
AVBF000109_GUYH850101,0.051360079682419194,0.6413672304588596,0.08323144632019945,9
AVBF000109_GUYH850103,0.05002240437420669,0.6507078351366062,0.08343240873516831,9
AVBF000109_CHOP780205,0.04574135874318402,0.6806011542412339,0.08358824364076631,10
AVBF000109_ROSG850102,0.04673295571103107,0.6736771157847805,0.08358992680065161,10
AVBF000109_GRAR740103,0.049314092265457195,0.6556537763195462,0.08360065444968821,9
AVBF000109_CHAM830106,0.044219062487677395,0.6912309142717918,0.08365143990986856,9
AVBF000109_FINA910102,0.05648107077967457,0.6056088120264816,0.0837830594382699,9
AVBF000109_FASG890101,0.04718166873951287,0.6705438808457251,0.08387119958738162,10
AVBF000109_LEVM760106,0.04943119139541398,0.6548361065350183,0.08387169217561594,9
AVBF000109_FASG760102,0.05048037974304317,0.6475099239198978,0.08387602173782387,10
AVBF000109_LEVM760103,0.05436014230066739,0.6204186499225353,0.08388926503922414,8
AVBF000109_FAUJ880110,0.05406879417675894,0.6224530506715993,0.08405950341154197,10
AVBF000109_JANJ780103,0.049148820856122793,0.656807819374426,0.08408279639385917,10
