,MSE,R2,cvMSE,n_components
GRAR740103,0.04579653102882072,0.453727845397886,0.08565159898612217,2
PONP800106,0.06181783967370194,0.26262178132772906,0.08566757131034605,2
KRIW790103,0.04680555321672558,0.44169198346150385,0.08567943011748999,2
RICJ880109,0.043408868746587594,0.48220846150736507,0.08605147180295933,2
JOND750101,0.05473347940688417,0.3471257526983268,0.08614264111626709,2
OOBM770104,0.04617991631669862,0.4491547324885259,0.08615197209394794,2
JANJ780101,0.044259902082291025,0.4720571290049018,0.08622934833771156,2
NADH010101,0.049384894708177106,0.4109249711499572,0.08624815009865164,2
KARS160103,0.04314321758137423,0.48537721318207905,0.08628278805999648,2
RACS820105,0.060004622474236935,0.2842502768504579,0.08635458110394248,2
KARS160107,0.03024494268814089,0.6392309714971522,0.0863860692431477,3
QIAN880101,0.051811629756027655,0.3819782855941556,0.08638695729448444,2
ZHOH040102,0.054389086935334514,0.35123374981592026,0.08649545950570821,2
ONEK900102,0.07060236583776236,0.15783781784848705,0.08657603345603214,2
RACS820101,0.04513060391572334,0.46167118588039413,0.0867713260339972,2
NISK800101,0.049382835454484963,0.4109495344285726,0.08683099299787589,2
BROC820101,0.06464259948316566,0.2289273596612037,0.08683973556694019,2
BUNA790101,0.080174102289345,0.04366381869996927,0.08695573759403175,2
RICJ880112,0.05062844744491754,0.39609157181599797,0.08698353109198861,2
KARP850103,0.05903969346932934,0.29576018458161824,0.08698582669396179,2
PONP930101,0.05319479799113077,0.3654795186571692,0.08704419407841973,2
MCMT640101,0.04434449620675951,0.471048069724604,0.08704561662075201,2
VINM940102,0.04896504886572428,0.4159329944173332,0.08710143354549629,2
GUYH850104,0.04538586996157126,0.4586263104339471,0.08712086231951342,2
VINM940103,0.05363543694661654,0.3602234700830239,0.08713536520325675,2
FAUJ880111,0.05728096255743234,0.3167387544213883,0.08714006129092598,3
FUKS010106,0.06360777760379417,0.24127096658894054,0.08715524786686579,2
KARP850101,0.03636622557550565,0.5662148212191884,0.08718752142160714,2
BIOV880101,0.045487872588918156,0.4574095982995542,0.08718780198046541,3
GOLD730102,0.045338694573000014,0.45918902993649613,0.0871988416760026,2
KRIW790101,0.041916738599136666,0.5000069526219393,0.08724760363683479,3
FUKS010104,0.04374407698936086,0.4782100161031728,0.08724982713885007,2
ONEK900101,0.04410512643302117,0.47390333057316847,0.0872604995768969,4
FASG890101,0.053334802543694236,0.36380951032106135,0.08729507200162903,2
BAEK050101,0.05800542735087241,0.3080971622580686,0.0873166835872318,2
